# V11 Paper Numbers Inventory
# Source: docs/beyond_recall_v10_1_draft.md (release-frozen 2026-04-24)
# Cross-checked against: docs/reviews/v10_numerical_verification_report.md
# Aggregation rule: 5-judge primary panel (Haiku, Sonnet, Opus, GPT-4o, GPT-5.4); within-judge mean across questions, then across-judge mean.
# Status legend: EXISTING (canonical scaffold reproduces); MISSING (no canonical scaffold OR scaffold output disagrees with paper); EXTERNAL (cited prior work); EXCLUDE (out-of-scope for Phase 2)
# Priority: HIGH (load-bearing §4 headline); MEDIUM (supporting); LOW (style/methodology); N/A (external)
# Note: lines marked "scaffold:promote-needed" are existing scripts not yet in the canonical list; phase-2 should formally adopt them.
section,line_in_paper,claim_id,quoted_text,number,current_source,scaffold_status,priority_for_phase_2,notes
§4.6.2,1323,4_6_2_c2c_v2_7j,"C2c v2 7j +0.22",+0.22,script:scripts/compute_wrong_spec_5judge.py,EXISTING (scaffold:promote-needed),HIGH,Sensitivity
§4.6.2,1324,4_6_2_c2c_v1_5j,"C2c v1 5j -0.25",-0.25,script:scripts/compute_wrong_spec_5judge.py,EXISTING (scaffold:promote-needed),HIGH,Sensitivity
§4.6.2,1324,4_6_2_c2c_v1_7j,"C2c v1 7j -0.21",-0.21,script:scripts/compute_wrong_spec_5judge.py,EXISTING (scaffold:promote-needed),HIGH,Sensitivity
§4.6.2,1326,4_6_2_no_subject_flips,"no subject's improvement direction changes",claim,script:scripts/recompute_5judge_primary.py,EXISTING,MEDIUM,Direction stability
#
# === §5 Discussion / §6 Limitations / §7 Future Work === Numbers: 14; EXISTING: 9; MISSING: 5
#
§5.2,1370,5_2_recap_slope,"slope -0.96 [-1.24, -0.67]",-0.96,script:scripts/recompute_5judge_primary.py,EXISTING,LOW,Recap of §4.1
§5.2,1370,5_2_recap_R2,"R² = 0.82",0.82,script:scripts/recompute_5judge_primary.py,EXISTING,LOW,Recap
§5.2,1370,5_2_recap_p,"slope p < 0.001",<0.001,script:scripts/recompute_5judge_primary.py,EXISTING,LOW,Recap
§5.2,1370,5_2_recap_lift,"+0.89 mean Δ_C4a low-baseline",+0.89,script:scripts/recompute_5judge_primary.py,EXISTING,LOW,Recap
§5.2,1370,5_2_recap_9_of_9,"9 of 9 improve",9/9,script:scripts/recompute_5judge_primary.py,EXISTING,LOW,Recap
§5.4,1402,5_4_random_correct_gap,"+0.22 random vs +0.35 correct, gap 0.13",0.13,script:scripts/compute_wrong_spec_5judge.py,EXISTING (scaffold:promote-needed),MEDIUM,Wrong-spec gap
§5.5,1376,5_5_compression_range,"5× to 78× compression",5×/78×,script:scripts/recompute_5judge_primary.py,EXISTING,LOW,Compression range
§6.2,1587,6_2_spearman_recap,"ρ 0.86 to 0.93",0.86-0.93,doc:docs/research/stats_update.md,doc:NEEDS-script,LOW,Recap §3.7.4
§6.2,1587,6_2_krippendorff_recap,"α 0.659 / 0.535",0.659/0.535,doc:docs/research/stats_update.md,doc:NEEDS-script,LOW,Recap
§6.3,1603,6_3_sunity_sd,"Sunity Devee SD 0.103 (17.4%)",0.103,script:scripts/_v10_pipeline_variance.py,EXISTING,HIGH,Variance probe
§6.3,1604,6_3_yungwing_sd,"Yung Wing SD 0.055 (9.3%)",0.055,script:scripts/_v10_pipeline_variance.py,EXISTING,HIGH,Variance probe
§6.3,1605,6_3_augustine_sd,"Augustine SD 0.130 (22.0%)",0.130,script:scripts/_v10_pipeline_variance.py,EXISTING,HIGH,Variance probe
§6.3,1606,6_3_pooled_sd,"Pooled 0.101 (17.1%)",0.101,script:scripts/_v10_pipeline_variance.py,EXISTING,HIGH,Variance probe
§6.3,1608,6_3_cross_subject_sd,"cross-subject SD 0.589",0.589,script:scripts/_v10_pipeline_variance.py,EXISTING,MEDIUM,Cross-subj SD
§6.3,1608,6_3_ci_half_width,"95% CI half-width 0.285",0.285,script:scripts/recompute_5judge_primary.py,EXISTING,LOW,Computed
§6.3,1608,6_3_augustine_signflips,"sign flips on 2 of 3 reruns Augustine",2/3,script:scripts/_v10_pipeline_variance.py,EXISTING,MEDIUM,Sign flips
§6.3,1608,6_3_low_baseline_6_of_6,"6 of 6 low-baseline reruns positive",6/6,script:scripts/_v10_pipeline_variance.py,EXISTING,MEDIUM,Sign stability
§7.2,1640,7_2_cross_tradition_gap,"+0.15 to +0.25 cross-tradition gap, 4 vs 10 split",+0.15-0.25/4-10,doc:docs/research/era_modernity_cross_slice.md,doc:NEEDS-script,LOW,Future work
§7.6,1672,7_6_refusal_intent,"75 of 81 (93%) routine refusals",75/81/93%,doc:docs/research/refusal_intent_classification.md,doc:NEEDS-script,LOW,Refusal classifier
#
# === §8 Reproducibility === Numbers: 1; MISSING: 1
#
§8,1686,8_total_cost,"Total study cost approximately USD 350",~350,GAP (no canonical file),MISSING,LOW,Aggregate cost; not in any file
#
# === Appendix A Predicates === Numbers: 5; EXISTING: 1; MISSING: 4
#
A.1,1746,A_1_n_predicates,"46 constrained predicates",46,doc:memory_system/src/baselayer/config.py,EXISTING,LOW,From config
A.2,1833,A_2_session49_added,"Session 49 added 6",6,doc:session history,doc:NEEDS-script,LOW,Provenance
A.2,1833,A_2_session52_added,"Session 52 added 2",2,doc:session history,doc:NEEDS-script,LOW,Provenance
A.2,1833,A_2_session55_added,"Session 55 added 8",8,doc:session history,doc:NEEDS-script,LOW,Provenance
A.2,1833,A_2_relationship_pct,"0.8% to 3-5%",0.8/3-5,doc:session history,doc:NEEDS-script,LOW,Pilot improvement
#
# === Appendix B Batteries === Numbers: 47; EXISTING: 0; MISSING: 47 (battery audit doc; no canonical script)
#
B.2,1873-1888,B_2_per_subject_battery,"15 subjects × 10 categories battery composition table",150 cells,doc:battery_v2.json files,doc:NEEDS-script,MEDIUM,Per-subject battery counts
B.2,1889,B_2_col_total_decisions,"decisions 93",93,doc:battery_v2.json sum,doc:NEEDS-script,LOW,Column total
B.2,1889,B_2_col_total_values,"values 115",115,doc:battery_v2.json sum,doc:NEEDS-script,LOW,Column total
B.2,1889,B_2_col_total_relationships,"relationships 84",84,doc:battery_v2.json sum,doc:NEEDS-script,LOW,Column total
B.2,1889,B_2_col_total_conflict,"conflict 66",66,doc:battery_v2.json sum,doc:NEEDS-script,LOW,Column total
B.2,1889,B_2_col_total_learning,"learning 65",65,doc:battery_v2.json sum,doc:NEEDS-script,LOW,Column total
B.2,1889,B_2_col_total_risk,"risk 19",19,doc:battery_v2.json sum,doc:NEEDS-script,LOW,Column total
B.2,1889,B_2_col_total_creativity,"creativity 34",34,doc:battery_v2.json sum,doc:NEEDS-script,LOW,Column total
B.2,1889,B_2_col_total_stress,"stress 60",60,doc:battery_v2.json sum,doc:NEEDS-script,LOW,Column total
B.2,1889,B_2_col_total_career,"career 23",23,doc:battery_v2.json sum,doc:NEEDS-script,LOW,Column total
B.2,1889,B_2_col_total_changeovertime,"change_over_time 27",27,doc:battery_v2.json sum,doc:NEEDS-script,LOW,Column total
B.2,1889,B_2_grand_total,"Grand total 586",586,doc:battery_v2.json sum,doc:NEEDS-script,LOW,Total
B.3,1901,B_3_literal_n,"60 LITERAL_RECALL (10.2%)",60/10.2%,doc:docs/research/question_category_audit.md,doc:NEEDS-script,MEDIUM,Axis distribution
B.3,1902,B_3_interp_n,"403 INTERPRETIVE (68.8%)",403/68.8%,doc:docs/research/question_category_audit.md,doc:NEEDS-script,MEDIUM,Axis distribution
B.3,1903,B_3_refusal_n,"123 REFUSAL_TRIGGERING (21.0%)",123/21.0%,doc:docs/research/question_category_audit.md,doc:NEEDS-script,MEDIUM,Axis distribution
B.3,1909-1923,B_3_per_subject_axis,"15 subjects × 3 axes per-subject distribution",45 cells,doc:question_category_audit.md,doc:NEEDS-script,LOW,Per-subject axes
B.4,1931,B_4_literal_delta,"LITERAL Δ_spec +0.792",+0.792,doc:question_category_audit.md,doc:NEEDS-script,MEDIUM,Category effect
B.4,1932,B_4_interp_delta,"INTERP +0.397",+0.397,doc:question_category_audit.md,doc:NEEDS-script,MEDIUM,Category effect
B.4,1933,B_4_refusal_delta,"REFUSAL +0.489",+0.489,doc:question_category_audit.md,doc:NEEDS-script,MEDIUM,Category effect
B.4,1931,B_4_literal_median,"LITERAL median +0.800",+0.800,doc:question_category_audit.md,doc:NEEDS-script,LOW,Median
B.4,1932,B_4_interp_median,"INTERP median +0.400",+0.400,doc:question_category_audit.md,doc:NEEDS-script,LOW,Median
B.4,1933,B_4_refusal_median,"REFUSAL median +0.200",+0.200,doc:question_category_audit.md,doc:NEEDS-script,LOW,Median
B.5,1939,B_5_hamerton_literal,"Hamerton LITERAL +1.93",+1.93,doc:question_category_audit.md,doc:NEEDS-script,LOW,Per-subject axis
B.5,1939,B_5_hamerton_interp,"Hamerton INTERP +2.02",+2.02,doc:question_category_audit.md,doc:NEEDS-script,LOW,Per-subject axis
B.5,1939,B_5_hamerton_refusal,"Hamerton REFUSAL +1.71",+1.71,doc:question_category_audit.md,doc:NEEDS-script,LOW,Per-subject axis
B.6,1945,B_6_delta_range,"Δ_spec range -0.31 to +1.85",-0.31/+1.85,doc:question_category_audit.md,doc:NEEDS-script (INC-9),HIGH,Discrepancy with §4.1 max
B.6,1946,B_6_corr_literal,"r LITERAL = +0.646",+0.646,doc:question_category_audit.md,doc:NEEDS-script,HIGH,Cited in §4.1
B.6,1947,B_6_corr_interp,"r INTERP = -0.582",-0.582,doc:question_category_audit.md,doc:NEEDS-script,HIGH,Cited in §4.1
B.6,1948,B_6_corr_refusal,"r REFUSAL = +0.321",+0.321,doc:question_category_audit.md,doc:NEEDS-script,MEDIUM,Battery correlation
#
# === Appendix C Conditions/Models === Numbers: 0 (all string identifiers) ===
#
# === Appendix D Validity Audit === Numbers: 35; EXISTING: 26; MISSING: 9
#
D.1,2065-2079,D_1_gradient_table_recap,"Per-subject 5-judge primary table (15 rows)",15 rows,script:scripts/recompute_5judge_primary.py,EXISTING,LOW,Recap of §4.1
D.2,2089,D_2_total_questions_low,"351 low-baseline questions",351,script:scripts/compute_anchor_crossing.py,EXISTING,LOW,Slice total
D.2,2090,D_2_upward_193,"Upward 193 (55.0%)",193/55.0%,script:scripts/compute_anchor_crossing.py,EXISTING,MEDIUM,Anchor crossings
D.2,2091,D_2_downward_24,"Downward 24 (6.8%)",24/6.8%,script:scripts/compute_anchor_crossing.py,EXISTING,MEDIUM,Anchor crossings
D.2,2092,D_2_no_crossing_134,"Stayed 134 (38.2%)",134/38.2%,script:scripts/compute_anchor_crossing.py,EXISTING,MEDIUM,Anchor crossings
D.2,2098,D_2_sunity_uppct,"Sunity Devee 29 / 74.4%",29/74.4%,script:scripts/compute_anchor_crossing.py,EXISTING,MEDIUM,Per-subject crossing
D.2,2099,D_2_hamerton_uppct,"Hamerton 27 / 69.2%",27/69.2%,script:scripts/compute_anchor_crossing.py,EXISTING,MEDIUM,Per-subject crossing
D.2,2100,D_2_fukuzawa_uppct,"Fukuzawa 26 / 66.7%",26/66.7%,script:scripts/compute_anchor_crossing.py,EXISTING,MEDIUM,Per-subject crossing
D.2,2101,D_2_bernal_uppct,"Bernal Diaz 23 / 59.0%",23/59.0%,script:scripts/compute_anchor_crossing.py,EXISTING,MEDIUM,Per-subject crossing
D.2,2102,D_2_seacole_uppct,"Seacole 21 / 53.8%",21/53.8%,script:scripts/compute_anchor_crossing.py,EXISTING,MEDIUM,Per-subject crossing
D.2,2103,D_2_ebers_uppct,"Ebers 19 / 48.7%",19/48.7%,script:scripts/compute_anchor_crossing.py,EXISTING,MEDIUM,Per-subject crossing
D.2,2104,D_2_keckley_uppct,"Keckley 19 / 48.7%",19/48.7%,script:scripts/compute_anchor_crossing.py,EXISTING,MEDIUM,Per-subject crossing
D.2,2105,D_2_yungwing_uppct,"Yung Wing 19 / 48.7%",19/48.7%,script:scripts/compute_anchor_crossing.py,EXISTING,MEDIUM,Per-subject crossing
D.2,2106,D_2_babur_uppct,"Babur 10 / 25.6%",10/25.6%,script:scripts/compute_anchor_crossing.py,EXISTING,MEDIUM,Per-subject crossing
D.3.1,2117,D_3_1_n_abstentions,"192 of 1,599 (12.0%)",192/12.0%,script:scripts/audit_low_end_inflation.py,EXISTING,MEDIUM,Audit
D.3.2,2123,D_3_2_band_1_15,"159 (82.8%) in 1.0-1.5",159,script:scripts/audit_low_end_inflation.py,EXISTING,MEDIUM,Score band
D.3.2,2124,D_3_2_band_15_20,"15 (7.8%) in 1.5-2.0",15,script:scripts/audit_low_end_inflation.py,EXISTING,MEDIUM,Score band
D.3.2,2125,D_3_2_band_20_25,"12 (6.3%) in 2.0-2.5",12,script:scripts/audit_low_end_inflation.py,EXISTING,MEDIUM,Score band
D.3.2,2126,D_3_2_band_25_30,"2 (1.0%) in 2.5-3.0",2,script:scripts/audit_low_end_inflation.py,EXISTING,LOW,Score band
D.3.2,2127,D_3_2_band_30_35,"2 (1.0%) in 3.0-3.5",2,script:scripts/audit_low_end_inflation.py,EXISTING,LOW,Score band
D.3.2,2128,D_3_2_band_above35,"2 (1.0%) above 3.5",2,script:scripts/audit_low_end_inflation.py,EXISTING,LOW,Score band
D.3.3,2140-2144,D_3_3_per_judge_strict,"Sonnet 1.14, GPT-5.4 1.17, Haiku 1.29, GPT-4o 1.34, Opus 1.41",5 means,script:scripts/audit_low_end_inflation.py,EXISTING,MEDIUM,Per-judge
D.3.4,2154,D_3_4_r_all,"all 1599 r=0.26",0.26,script:scripts/audit_low_end_inflation.py,EXISTING,MEDIUM,Length r
D.3.4,2155,D_3_4_r_c5,"C5 r=0.604",0.604,script:scripts/audit_low_end_inflation.py,EXISTING,MEDIUM,Length r
D.3.4,2156,D_3_4_r_c2a,"C2a r=0.14",0.14,script:scripts/audit_low_end_inflation.py,EXISTING,MEDIUM,Length r
D.3.4,2157,D_3_4_r_c4,"C4 r=0.01",0.01,script:scripts/audit_low_end_inflation.py,EXISTING,MEDIUM,Length r
D.3.4,2158,D_3_4_r_c4a,"C4a r=-0.01",-0.01,script:scripts/audit_low_end_inflation.py,EXISTING,MEDIUM,Length r
D.3.4,2159,D_3_4_r_c2c,"C2c r=0.500",0.500,script:scripts/audit_low_end_inflation.py,EXISTING,MEDIUM,Length r
D.3.5,2169,D_3_5_ultrahigh_len,"Ultra-high 2,790 chars",2790,script:scripts/audit_low_end_inflation.py,EXISTING,LOW,Length
D.3.5,2170,D_3_5_midrange_len,"Mid-range 2,829 chars",2829,script:scripts/audit_low_end_inflation.py,EXISTING,LOW,Length
D.3.5,2171,D_3_5_low_len,"Low (<2.0) 2,087 chars",2087,script:scripts/audit_low_end_inflation.py,EXISTING,LOW,Length
D.3.5,2171,D_3_5_low_n,"n = 795",795,script:scripts/audit_low_end_inflation.py,EXISTING,LOW,Low count
D.4,2189-2261,D_4_full_judge_matrix,"Per-subject × per-judge × per-condition matrix",630 cells,script:scripts/_emit_full_judge_matrix.py,EXISTING,HIGH,Full matrix
D.4,2189-2261,D_4_5j_means,"5-judge primary means column",70 cells,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,5j means
D.4,2189-2261,D_4_7j_means,"7-judge means column",70 cells,script:scripts/_emit_full_judge_matrix.py,EXISTING,HIGH,7j means
#
# === Appendix E Benchmark Scope === Numbers: 18; EXTERNAL: 18; EXCLUDE
#
E.1,2290,E_1_lme_range,"68% to 85%",68-85%,EXTERNAL,EXCLUDE,LongMemEval range
E.2,2308,E_2_persona_top,"4.51 ± 0.08",4.51,EXTERNAL,EXCLUDE,PersonaScore top
E.2,2308,E_2_persona_bottom,"3.64 ± 0.57",3.64,EXTERNAL,EXCLUDE,PersonaScore bottom
E.2,2308,E_2_persona_n_personas,"200 personas",200,EXTERNAL,EXCLUDE,PersonaGym N
E.2,2308,E_2_persona_n_q,"10,000 questions",10000,EXTERNAL,EXCLUDE,PersonaGym N
E.4,2354,E_4_twin2k_acc,"71.72%",71.72%,EXTERNAL,EXCLUDE,Twin-2K
E.4,2354,E_4_twin2k_human,"81.72%",81.72%,EXTERNAL,EXCLUDE,Twin-2K
E.4,2354,E_4_twin2k_top,"87.67%",87.67%,EXTERNAL,EXCLUDE,Twin-2K
E.4,2354,E_4_twin2k_random,"59.17%",59.17%,EXTERNAL,EXCLUDE,Twin-2K
E.4,2354,E_4_twin2k_replication,"6 of 10",6/10,EXTERNAL,EXCLUDE,Twin-2K
E.5,2370,E_5_locomo_gpt4t,"GPT-4-turbo 32.1%",32.1%,EXTERNAL,EXCLUDE,LoCoMo
E.5,2370,E_5_locomo_gpt35,"GPT-3.5-turbo 22.4%",22.4%,EXTERNAL,EXCLUDE,LoCoMo
E.5,2370,E_5_locomo_gpt35_16k,"GPT-3.5-turbo-16K 37.8%",37.8%,EXTERNAL,EXCLUDE,LoCoMo
E.5,2370,E_5_locomo_rag,"best RAG 41.4%",41.4%,EXTERNAL,EXCLUDE,LoCoMo
E.5,2370,E_5_locomo_human,"human 87.9%",87.9%,EXTERNAL,EXCLUDE,LoCoMo
E.5,2370,E_5_locomo_mem0,"Mem0 91.6 / Mem0g 68.44 / Letta 74.0",3 numbers,EXTERNAL,EXCLUDE,LoCoMo systems
E.5,2370,E_5_locomo_zep,"Zep 84 (disputed)",84,EXTERNAL,EXCLUDE,LoCoMo Zep
E.4,2354,E_4_twin2k_n,"2,058 participants",2058,EXTERNAL,EXCLUDE,Twin-2K N
#
# === Appendix F Letta Stateful (full) === Numbers: 10; EXISTING: 0; MISSING: 10
#
F,2418,F_hamerton_corpus,"Hamerton 25,231 words",25231,doc:source corpus,doc:NEEDS-script,LOW,Corpus size
F,2419,F_ebers_corpus,"Ebers 48,161 words",48161,doc:source corpus,doc:NEEDS-script,LOW,Corpus size
F,2420,F_babur_corpus,"Babur 222,742 words",222742,doc:source corpus,doc:NEEDS-script,LOW,Corpus size (training half)
F,2418,F_hamerton_block,"Hamerton block 22,472 chars",22472,doc:letta_stateful_matched_rerun.md,doc:NEEDS-script,LOW,Block
F,2419,F_ebers_block,"Ebers block 68,413 chars",68413,doc:letta_stateful_matched_rerun.md,doc:NEEDS-script,LOW,Block
F,2420,F_babur_block,"Babur block 335,349 chars",335349,doc:letta_stateful_matched_rerun.md,doc:NEEDS-script,LOW,Block
F,2432,F_hamerton_5j,"Hamerton Letta 3.10 BL 2.96 +0.14",3.10/2.96/+0.14,doc:5judge_primary_results.json,doc:NEEDS-script,HIGH,Recap
F,2433,F_ebers_5j,"Ebers 2.76 / 1.72 / +1.05",2.76/1.72/+1.05,doc:5judge_primary_results.json,doc:NEEDS-script,HIGH,Recap
F,2434,F_babur_5j,"Babur 2.42 / 1.88 / +0.54",2.42/1.88/+0.54,doc:5judge_primary_results.json,doc:NEEDS-script,HIGH,Recap
F,2438,F_7j_robust,"7-judge Hamerton +0.20 / Ebers +0.75 / Babur +0.29",3 deltas,doc:_letta_rerun Part 7,doc:NEEDS-script,LOW,7j robustness
F,2444,F_letta_block_meta_limit,"Letta block-size metadata limit 100,000",100000,doc:letta_stateful_deep_read.md,doc:NEEDS-script,LOW,API limit
F,2444,F_letta_api_ceiling,"effective ceiling ~333,000",~333000,doc:letta_stateful_matched_rerun.md,doc:NEEDS-script,LOW,API ceiling
F,2446,F_babur_dup,"25.4% verbatim duplication",25.4%,doc:letta_stateful_matched_rerun.md,doc:NEEDS-script,LOW,Duplication
F,2466,F_ref_density_babur,"540 vs 46",540/46,doc:letta_stateful_deep_read.md,doc:NEEDS-script,LOW,Referential density
F,2466,F_ref_density_ebers,"58 vs 19",58/19,doc:letta_stateful_deep_read.md,doc:NEEDS-script,LOW,Referential density
F,2444,F_babur_token,"~84,000 tokens",84000,doc:char/4 ratio,doc:NEEDS-script,LOW,Token estimate
#
# === _unmapped (claims that could not be precisely located) === Numbers: 0
#
# (All numbers were locatable in the verification report or the paper.)
#

## Executive Summary (markdown)

**Total numbers inventoried: 339** (compared to 194 in the verification report; this inventory over-includes by enumerating per-subject table cells separately and listing both §1.3 headlines and their §4 occurrences).

### Per-status counts

- **EXISTING** (canonical scaffold reproduces): **172** rows
- **MISSING** (no canonical scaffold OR scaffold output disagrees with paper): **126** rows
- **EXTERNAL** (cited from prior work): **35** rows
- **EXCLUDE**: 35 rows (= EXTERNAL count)
- **GAP** subset within MISSING: 1 row (the §8 USD 350 cost claim, no underlying data file)

### Counts by paper section

| Section | Total | EXISTING | MISSING | EXTERNAL |
|---|---:|---:|---:|---:|
| §1 Introduction | 51 | 28 | 21 | 2 |
| §2 Prior Work | 17 | 0 | 0 | 17 |
| §3 Study Design | 32 | 13 | 19 | 0 |
| §4.1 Gradient | 50 | 44 | 6 | 0 |
| §4.2 Compression | 33 | 24 | 9 | 0 |
| §4.3 Mechanism | 26 | 14 | 12 | 0 |
| §4.4 Memory-Systems | 60 | 0 | 60 | 0 |
| §4.5 Letta Stateful | 14 | 0 | 14 | 0 |
| §4.6 Robustness | 19 | 9 | 10 | 0 |
| §5 Discussion | 9 | 6 | 3 | 0 |
| §6 Limitations | 10 | 7 | 3 | 0 |
| §7 Future Work | 2 | 0 | 2 | 0 |
| §8 Reproducibility | 1 | 0 | 1 | 0 |
| Appendix A | 5 | 1 | 4 | 0 |
| Appendix B | 30 | 0 | 30 | 0 |
| Appendix D | 35 | 33 | 2 | 0 |
| Appendix E | 18 | 0 | 0 | 18 |
| Appendix F | 16 | 0 | 16 | 0 |

### Top 5 sections by MISSING-scaffold count (Phase 2 build targets)

1. **§4.4 Memory-System Composition (60 missing)** — `memory_systems_5judge_primary.md` and the four `*_c1_vs_c3_*.md` analysis docs hold every controlled / native Δ_spec, every per-system per-subject paired row, every per-question example. None is reproducible from a single canonical scaffold reading raw `*_judgments_<judge>.json`. **Build estimate: 1 master script (`scaffold_memory_systems.py`) ~600-800 lines** (consolidates `compute_memory_systems_5judge.py`, the `analyze_*_c1_vs_c3.py` scripts, and `compute_supermemory_paid_tier_aggregate.py` into one canonical script reading per-judge JSON for all 14 subjects × 5 systems × C1/C3 × controlled/native, computing aggregates and Wilcoxon, and emitting CSV/JSON + Markdown report).
2. **Appendix B Battery Audit (30 missing)** — `question_category_audit.md` produces all per-axis Δ_spec / median / per-subject distributions, but the underlying classifier and aggregator are split between `classify_question_categories.py` and the audit doc. **Build estimate: ~250-400 lines** for `scaffold_battery_audit.py` reading `battery_v2.json` + `judgments_v2.json` per subject and emitting axis classifications (or reading existing classifications) and the §B.2-B.6 tables.
3. **§3 Study Design (19 missing)** — calibration table, Spearman / Krippendorff agreement matrices, Franklin-baseline numbers. **Build estimate: 1 script ~300-500 lines** for `scaffold_judges_and_franklin.py` covering per-judge calibration recompute, inter-judge agreement (5j / 7j), Franklin's pre-globals legacy data.
4. **§1 Introduction (21 missing)** — most are recaps of §4 numbers (corpus word counts, Letta block sizes, Letta-vs-BL deltas, paid-tier Supermemory rerun, Keckley Q21 cross-system table). Coverage spills into §4.4 / §4.5 scaffolds; once those exist most §1 numbers reduce to references. **Build estimate: tightly coupled with §4.4 + §4.5 scaffolds; no standalone script needed**.
5. **Appendix F Letta Stateful (16 missing)** — `letta_stateful_matched_rerun.md`, `letta_stateful_deep_read.md`, `_letta_rerun/5judge_primary_results.json`, `_letta_rerun/fullstack_named/RESULTS.md`, and the `_letta_rerun/{20,40,50,60,70}_*.py` execution chain together produce every number but no single canonical scaffold consolidates them. **Build estimate: ~300-500 lines** for `scaffold_letta_stateful.py` reading per-judge JSON files in `_letta_rerun/` and emitting matched-rerun + full-stack-named + 7-judge robustness numbers in one pass.

### Special cases (scaffold exists but output disagrees with paper)

- **§4.6.1 Tier 2** (INC-1, 6 numbers) — `tier2_mechanical_recompute.py` exists and produces Δ_C2a / Δ_C4a; neither reproduces the paper's published +1.48/+1.07/+1.91/+1.27/+1.40/-0.55. **Repair task, not a build task. ~50-100 lines** to identify the legacy aggregation and either recompute under it or replace with the recompute output.
- **§4.2 Table 4.2 mean row** (INC-2/7/8, 3 numbers) — recompute script gives 1.55/2.23/2.35/2.45/2.44/2.59 for the 9-subject mean row; paper prints 1.52/2.23/2.35/2.45/2.45/2.50. **Repair task: ~30 lines** to print the correct mean row, plus a paper edit (out-of-scope for Phase 2).
- **Appendix B.6 Δ_spec range** (INC-9, 1 row) — `question_category_audit.md` aggregates per-question category-weighted Δ which produces the +1.85 max; §4.1 reports per-subject mean-difference Δ_C2a max +1.37 / Δ_C4a +1.51. Two different aggregations. **Documentation task: 1 line** in B.6 to state aggregation method explicitly.

### Existing scripts that need promotion-to-canonical (do not yet appear in the task's canonical list)

- `scripts/compute_memory_systems_5judge.py` (used for §4.4.1 aggregates)
- `scripts/compute_wrong_spec_5judge.py` and `scripts/compute_wrong_spec_per_subject.py` (used for §4.3 / §4.6.2)
- `scripts/analyze_mlz_c1_vs_c3.py`, `scripts/analyze_baselayer_c1_vs_c3.py`, `scripts/analyze_sm_c1_vs_c3.py` (used for §4.4.2 paired distributions)
- `scripts/compute_supermemory_paid_tier_aggregate.py` (§4.4.1 paid-tier rerun)
- `scripts/_v10_verification/tier2_mechanical_recompute.py` already canonical per the task list, but its output disagrees with the paper.

### Estimated total Phase 2 build effort

- 4 new master scaffolds: ~1,750-2,200 lines of Python
- 5 existing scripts to promote (mostly headers + integration): ~250-400 lines of edits
- 3 repair tasks (Tier 2, Table 4.2 mean row, B.6 documentation): ~100-200 lines + paper edits
- **Total: roughly 2,100-2,800 lines of Python, ~25-35 hours of focused work to reach a state where every paper number is producible from a canonical scaffold or marked EXTERNAL/EXCLUDE.**
